                               Overall Accuracy:                                

                                Option Combination  Overall    Average    F1 Score     MCC    
                   Vowels-Only-Min-250-Percentages   26.85%     37.29%     19.84%     7.45%   
                       Vowels-Only-All-Percentages   34.69%     45.01%     18.53%     10.06%  
              Emphasis-Vowels-Only-All-Percentages   30.41%     46.48%     17.24%     10.25%  


                   Average Matthews Correlation Coefficient:                    

                                Option Combination  Overall    Average    F1 Score     MCC    
                         Emphasis-No-Others-Counts   55.17%     55.53%     56.21%     33.04%  
                 Emphasis-No-Others-Counts-Twofold   55.17%     55.53%     56.21%     33.04%  
                    Emphasis-No-Others-Percentages   55.17%     55.64%     55.87%     32.86%  
            Emphasis-No-Others-Percentages-Twofold   55.17%     55.64%     55.87%     32.86%  
        Emphasis-Vowels-Only-No-Others-Percentages   54.02%     54.58%     56.34%     32.57%  
Emphasis-Vowels-Only-No-Others-Percentages-Twofold   54.02%     54.58%     56.34%     32.57%  
                                        All-Counts   90.29%     51.21%     44.92%     31.44%  
                                  No-Others-Counts   54.02%     53.48%     54.06%     30.49%  
                          No-Others-Counts-Twofold   54.02%     53.48%     54.06%     30.49%  
                                All-Counts-Twofold   91.92%     47.02%     44.43%     29.76%  
                 Vowels-Only-No-Others-Percentages   52.87%     53.33%     53.17%     29.23%  
         Vowels-Only-No-Others-Percentages-Twofold   52.87%     53.33%     53.17%     29.23%  
                                    Min-100-Counts   80.53%     51.45%     43.33%     28.99%  
                             No-Others-Percentages   52.87%     53.43%     52.76%     28.96%  
                     No-Others-Percentages-Twofold   52.87%     53.43%     52.76%     28.96%  
             Emphasis-Vowels-Only-No-Others-Counts   51.72%     52.48%     53.59%     28.54%  
     Emphasis-Vowels-Only-No-Others-Counts-Twofold   51.72%     52.48%     53.59%     28.54%  
                                   Min-1000-Counts   52.29%     50.92%     43.24%     28.15%  
                               Emphasis-All-Counts   88.80%     49.94%     41.79%     27.70%  
                       Emphasis-All-Counts-Twofold   91.51%     45.45%     41.77%     27.34%  
                                    Min-250-Counts   69.55%     51.49%     41.85%     27.08%  
                            Vowels-Only-All-Counts   92.33%     45.29%     41.85%     26.90%  
                   Emphasis-Vowels-Only-All-Counts   91.85%     46.28%     41.88%     26.73%  
                          Emphasis-Min-1000-Counts   50.38%     50.58%     42.32%     26.18%  
                                    Min-500-Counts   60.56%     50.24%     41.66%     26.10%  
                            Min-100-Counts-Twofold   84.28%     45.04%     41.93%     25.49%  
                      Vowels-Only-No-Others-Counts   50.57%     49.54%     50.05%     24.90%  
              Vowels-Only-No-Others-Counts-Twofold   50.57%     49.54%     50.05%     24.90%  
                           Emphasis-Min-500-Counts   60.56%     49.30%     40.65%     24.81%  
                            Min-250-Counts-Twofold   77.30%     45.23%     41.97%     24.78%  
                           Emphasis-Min-250-Counts   68.11%     50.10%     39.88%     24.63%  
                           Emphasis-Min-100-Counts   78.36%     47.90%     39.59%     24.26%  
                   Emphasis-Min-100-Counts-Twofold   83.56%     44.08%     39.98%     23.79%  
                   Emphasis-Min-500-Counts-Twofold   68.96%     45.42%     41.10%     23.65%  
                            Min-500-Counts-Twofold   69.47%     44.41%     41.55%     23.48%  
                   Emphasis-Min-250-Counts-Twofold   75.86%     45.43%     39.75%     23.06%  
                        Vowels-Only-Min-100-Counts   84.52%     43.98%     39.28%     22.90%  
               Emphasis-Vowels-Only-Min-100-Counts   83.07%     45.37%     39.26%     22.54%  
                  Emphasis-Min-1000-Counts-Twofold   57.25%     44.26%     41.55%     22.52%  
                        Vowels-Only-Min-250-Counts   76.40%     45.05%     38.38%     21.63%  
                     Emphasis-Min-1000-Percentages   44.27%     46.89%     38.28%     21.46%  
               Emphasis-Vowels-Only-Min-250-Counts   74.77%     45.65%     38.62%     21.00%  
                      Min-1000-Percentages-Twofold   55.34%     43.76%     39.00%     20.91%  
             Emphasis-Min-1000-Percentages-Twofold   53.44%     44.36%     39.37%     20.31%  
                           Min-1000-Counts-Twofold   58.02%     41.54%     40.14%     20.07%  
               Emphasis-Vowels-Only-Min-500-Counts   65.14%     44.22%     37.97%     19.37%  
              Emphasis-Min-500-Percentages-Twofold   57.25%     44.63%     36.49%     18.41%  
           Emphasis-Vowels-Only-All-Counts-Twofold   93.21%     34.56%     34.96%     18.40%  
                    Vowels-Only-All-Counts-Twofold   93.75%     33.64%     34.89%     18.40%  
                        Vowels-Only-Min-500-Counts   65.65%     42.54%     36.33%     18.32%  
                              Min-1000-Percentages   41.98%     44.23%     34.75%     18.30%  
              Emphasis-Vowels-Only-Min-1000-Counts   52.67%     42.67%     37.82%     18.01%  
                Vowels-Only-Min-100-Counts-Twofold   87.42%     35.07%     34.92%     17.00%  
       Emphasis-Vowels-Only-Min-500-Counts-Twofold   71.76%     38.82%     36.42%     16.83%  
       Emphasis-Vowels-Only-Min-100-Counts-Twofold   86.70%     35.24%     34.78%     16.70%  
         Emphasis-Vowels-Only-Min-1000-Percentages   37.02%     43.97%     34.37%     16.48%  
       Emphasis-Vowels-Only-Min-250-Counts-Twofold   79.28%     37.15%     35.34%     16.30%  
                               Min-250-Percentages   43.78%     46.00%     28.77%     16.24%  
                Vowels-Only-Min-250-Counts-Twofold   81.08%     34.75%     33.95%     15.25%  
                       Min-250-Percentages-Twofold   60.00%     42.53%     32.58%     15.22%  
 Emphasis-Vowels-Only-Min-1000-Percentages-Twofold   50.76%     40.52%     35.88%     14.56%  
                       Vowels-Only-Min-1000-Counts   51.15%     39.25%     34.22%     14.49%  
              Emphasis-Min-100-Percentages-Twofold   60.34%     44.98%     30.24%     14.48%  
                  Emphasis-All-Percentages-Twofold   49.49%     50.41%     24.28%     14.47%  
                      Emphasis-Min-100-Percentages   44.86%     46.76%     25.95%     14.25%  
                       Min-500-Percentages-Twofold   55.98%     39.92%     32.56%     14.13%  
              Emphasis-Min-250-Percentages-Twofold   58.02%     41.13%     31.91%     13.99%  
                      Emphasis-Min-250-Percentages   42.52%     43.59%     28.02%     13.83%  
                       Min-100-Percentages-Twofold   60.22%     43.36%     29.63%     13.79%  
                               Min-100-Percentages   45.10%     44.87%     25.61%     13.68%  
                      Emphasis-Min-500-Percentages   37.66%     41.63%     30.26%     13.51%  
                  Vowels-Only-Min-1000-Percentages   27.48%     42.42%     27.47%     13.14%  
  Emphasis-Vowels-Only-Min-250-Percentages-Twofold   54.23%     42.68%     30.76%     13.12%  
                           All-Percentages-Twofold   52.21%     46.76%     24.29%     13.02%  
                Vowels-Only-Min-500-Counts-Twofold   72.26%     34.04%     32.87%     12.64%  
           Vowels-Only-Min-100-Percentages-Twofold   56.95%     43.36%     27.32%     12.46%  
                          Emphasis-Min-2500-Counts   45.12%     33.24%     31.89%     12.43%  
                          Emphasis-All-Percentages   38.63%     49.21%     20.41%     12.41%  
  Emphasis-Vowels-Only-Min-500-Percentages-Twofold   53.44%     40.68%     32.15%     11.92%  
      Emphasis-Vowels-Only-All-Percentages-Twofold   45.28%     46.60%     22.26%     11.86%  
  Emphasis-Vowels-Only-Min-100-Percentages-Twofold   56.23%     42.63%     27.76%     11.81%  
                               Min-500-Percentages   35.37%     39.77%     26.74%     11.73%  
          Emphasis-Vowels-Only-Min-500-Percentages   32.32%     42.06%     27.36%     11.50%  
               Vowels-Only-All-Percentages-Twofold   50.24%     45.31%     23.38%     11.47%  
                                   All-Percentages   41.62%     45.63%     20.92%     11.18%  
                   Vowels-Only-Min-500-Percentages   26.72%     40.40%     23.28%     10.79%  
              Emphasis-Vowels-Only-All-Percentages   30.41%     46.48%     17.24%     10.25%  
      Emphasis-Vowels-Only-Min-1000-Counts-Twofold   57.25%     34.84%     32.45%     10.16%  
                       Vowels-Only-All-Percentages   34.69%     45.01%     18.53%     10.06%  
          Emphasis-Vowels-Only-Min-100-Percentages   36.15%     42.14%     21.87%     9.78%   
          Vowels-Only-Min-1000-Percentages-Twofold   47.71%     36.49%     30.62%     9.18%   
                   Vowels-Only-Min-100-Percentages   32.53%     40.07%     19.92%     9.12%   
                     Emphasis-Min-2500-Percentages   42.68%     30.52%     29.51%     9.12%   
 Emphasis-Vowels-Only-Min-2500-Percentages-Twofold   46.34%     30.22%     29.11%     9.10%   
                                   Min-2500-Counts   37.80%     30.62%     27.92%     8.95%   
          Emphasis-Vowels-Only-Min-250-Percentages   32.61%     39.64%     23.06%     8.80%   
               Vowels-Only-Min-1000-Counts-Twofold   59.54%     32.55%     30.74%     8.63%   
           Vowels-Only-Min-500-Percentages-Twofold   51.15%     36.07%     28.21%     8.59%   
           Vowels-Only-Min-250-Percentages-Twofold   52.79%     35.58%     25.93%     8.00%   
                   Vowels-Only-Min-250-Percentages   26.85%     37.29%     19.84%     7.45%   
                              Min-2500-Percentages   36.59%     28.54%     26.65%     6.92%   
                  Emphasis-Min-2500-Counts-Twofold   42.68%     28.64%     28.40%     6.39%   
          Vowels-Only-Min-2500-Percentages-Twofold   42.68%     28.64%     28.50%     5.99%   
      Emphasis-Vowels-Only-Min-2500-Counts-Twofold   42.68%     28.08%     26.83%     5.81%   
         Emphasis-Vowels-Only-Min-2500-Percentages   40.24%     28.24%     26.83%     5.67%   
              Emphasis-Vowels-Only-Min-2500-Counts   39.02%     27.38%     25.98%     4.43%   
                  Vowels-Only-Min-2500-Percentages   36.59%     27.32%     25.70%     4.17%   
             Emphasis-Min-2500-Percentages-Twofold   41.46%     26.55%     26.30%     3.32%   
                           Min-2500-Counts-Twofold   39.02%     26.27%     26.48%     3.12%   
               Vowels-Only-Min-2500-Counts-Twofold   39.02%     24.83%     24.61%     -0.07%  
                       Vowels-Only-Min-2500-Counts   32.93%     24.73%     23.51%     -0.53%  
                      Min-2500-Percentages-Twofold   36.59%     23.33%     23.73%     -1.01%  
